no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,90,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,47,,53.677390458000446,53.77519399999983,107.45258445800027
1,0.5,90,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,47,,53.80558833300074,53.673559457999545,107.47914779100029
2,0.5,90,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,47,,53.792623500000445,53.686295958999835,107.47891945900028
3,0.5,90,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,47,,53.56957154100019,54.129303959000026,107.69887550000021
4,0.5,90,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,47,,54.1636510419994,53.853335625,108.0169866669994
0,0.5,100,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,52,,54.21184158400047,54.492964375000156,108.70480595900062
1,0.5,100,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,52,,53.69244075000006,54.60434712500046,108.29678787500052
2,0.5,100,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,52,,54.549663125000734,54.40743720899991,108.95710033400064
3,0.5,100,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,52,,55.78786987500007,54.91586749999988,110.70373737499995
4,0.5,100,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,52,,54.359594458000174,54.357601875,108.71719633300017
