no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,7,,200,36.769042041000006,23.976971458999998,60.746013500000004
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,7,,200,36.560139625000005,24.114123458999998,60.674263084
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,7,,200,36.346829375,24.136204375000005,60.483033750000004
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,7,,200,36.68814520800001,24.16540649999996,60.85355170799997
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,7,,200,36.517603124999994,24.15040862500001,60.668011750000005
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,200,33.36283637499997,10.746384500000033,44.109220875000005
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,200,33.484343207999984,10.794346458000007,44.27868966599999
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,200,33.234188415999995,10.720004709000023,43.95419312500002
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,200,32.598084582999945,10.728854167000009,43.326938749999954
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,200,33.07087245800005,10.759639582999966,43.83051204100002
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,6,,200,36.892909417000055,14.862850624999965,51.75576004200002
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,6,,200,36.86222579199989,14.91773958300007,51.77996537499996
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,6,,200,36.80321720899997,14.982159916,51.78537712499997
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,6,,200,36.70362054199995,14.964659582999957,51.66828012499991
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,6,,200,36.46749041700002,14.995565542000008,51.46305595900003
