no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,175457,,900MB,10.864389416999984,0.007927582999968763,10.872316999999953
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,175457,,900MB,10.844761500000004,0.008688000000006468,10.85344950000001
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,175457,,900MB,10.816705207999917,0.008728584000095907,10.825433792000013
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,175457,,900MB,10.82949337499997,0.008834500000034495,10.838327875000004
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,175457,,900MB,10.877908708000064,0.00799199999994471,10.885900708000008
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,175457,,900MB,10.852636624999946,0.003478749999999309,10.856115374999945
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,175457,,900MB,10.857970125000065,0.0027024589999200543,10.860672583999985
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,175457,,900MB,10.861100958000065,0.0028097919999936494,10.86391075000006
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,175457,,900MB,10.833953040999972,0.0026203339999710806,10.836573374999944
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,175457,,900MB,10.832705125000075,0.002647124999953121,10.835352250000028
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,175457,,900MB,10.809887000000003,0.004573875000005501,10.814460875000009
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,175457,,900MB,10.855373041000007,0.004109416999995119,10.859482458000002
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,175457,,900MB,10.878956207999977,0.006637374999968415,10.885593582999945
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,175457,,900MB,10.831854916999987,0.003656417000001966,10.835511333999989
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,175457,,900MB,10.892397500000015,0.005953666999971574,10.898351166999987
