no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,300,0.7120330419999981,1.423657458000001,2.135690499999999
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,300,0.7281669169999994,1.451970792000001,2.1801377090000003
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,300,0.7014317089999977,1.4183972910000016,2.1198289999999993
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,300,0.7121748340000025,1.415104624999998,2.1272794590000004
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,300,0.7206935420000029,1.4227321249999996,2.1434256670000025
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,300,0.21160516599999823,0.3093652500000026,0.5209704160000008
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,300,0.229403290999997,0.315291000000002,0.544694290999999
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,300,0.21055387499999867,0.31391504100000134,0.524468916
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,300,0.21124425000000002,0.31117795799999826,0.5224222079999983
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,300,0.2280879579999997,0.3119007919999994,0.5399887499999991
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,300,0.7163872920000003,0.6254961250000015,1.3418834170000018
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,300,0.7202133750000002,0.6503425000000007,1.3705558750000009
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,300,0.7056944999999999,0.6217483329999993,1.3274428329999992
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,300,0.7151494169999992,0.6281592079999996,1.3433086249999988
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,300,0.7256310420000034,0.6236034169999982,1.3492344590000016
