no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,90,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,47,,53.30834420799965,90.97936937500072,144.28771358300037
1,0.5,90,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,47,,53.320464499999616,73.1221010420004,126.44256554200001
2,0.5,90,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,47,,52.99695595899993,73.07035850000011,126.06731445900004
3,0.5,90,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,47,,53.481566833000215,72.94910900000013,126.43067583300035
4,0.5,90,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,47,,53.28199695799958,73.15089454200006,126.43289149999964
0,0.5,100,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,52,,54.400516374999825,73.38654045899966,127.78705683399949
1,0.5,100,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,52,,53.81651858399982,73.10276245800014,126.91928104199997
2,0.5,100,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,52,,54.70127812499959,73.69761149999977,128.39888962499936
3,0.5,100,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,52,,53.75464795900007,73.58799825000006,127.34264620900012
4,0.5,100,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,52,,54.57934699999987,73.28519558300013,127.864542583
