no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,90,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,47,,39.91703358299992,36.7597587500004,76.67679233300032
1,0.5,90,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,47,,40.14119833299992,36.94738937500006,77.08858770799998
2,0.5,90,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,47,,40.0976142089994,36.8992536249998,76.9968678339992
3,0.5,90,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,47,,40.28315279200069,37.05465233299947,77.33780512500016
4,0.5,90,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,47,,40.19355445800011,36.71210933400016,76.90566379200027
0,0.5,100,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,52,,40.218102374999944,36.442051417000584,76.66015379200053
1,0.5,100,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,52,,40.575914957999885,36.526211750000584,77.10212670800047
2,0.5,100,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,52,,40.33580075000009,36.514884999999595,76.85068574999968
3,0.5,100,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,52,,40.3082843330003,36.669580541999494,76.9778648749998
4,0.5,100,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,52,,40.61016495900003,36.72205899999972,77.33222395899975
