no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Status = Management),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Status = Management),COUNT(Status = Retired),number_of_constraints,setup_duration[sec],solver_duration[sec],total_duration[sec]
8,0.5,10,QUERY_DISTANCE,0.36666666666666664,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,0,3,7,0,0,10,3,0.11864729100000204,0.20158383400001867,0.3202311250000207
9,0.5,10,QUERY_DISTANCE,0.36666666666666664,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,0,3,7,0,0,10,3,0.1327359999999942,0.20632987499999444,0.33906587499998864
0,0.5,10,QUERY_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,8,4,0.12554866600001446,0.2543536670000037,0.3799023330000182
1,0.5,10,QUERY_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,8,4,0.12230900000000133,0.2596437500000093,0.3819527500000106
2,0.5,10,QUERY_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,8,4,0.1256134159999931,0.2592645839999932,0.3848779999999863
3,0.5,10,QUERY_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,8,4,0.12614149999998858,0.28319016599999713,0.4093316659999857
4,0.5,10,QUERY_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,8,4,0.11998070800001415,0.2610501670000076,0.38103087500002175
5,0.5,10,QUERY_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,8,4,0.12432400000000143,0.2690968329999919,0.3934208329999933
6,0.5,10,QUERY_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,8,4,0.1250906660000055,0.2638010839999936,0.3888917499999991
7,0.5,10,QUERY_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,8,4,0.12129212499999653,0.2699272090000022,0.39121933399999875
8,0.5,10,QUERY_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,8,4,0.1396727080000062,0.25592979200001764,0.39560250000002384
9,0.5,10,QUERY_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,8,4,0.12419333399998322,0.28085929100001295,0.40505262499999617
0,0.5,10,QUERY_DISTANCE,0.42000000000000004,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,0,3,7,0,0,10,5,0.13156241700002624,0.2109653329999901,0.34252775000001634
1,0.5,10,QUERY_DISTANCE,0.42000000000000004,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,0,3,7,0,0,10,5,0.12798512500000925,0.2030950829999938,0.33108020800000304
2,0.5,10,QUERY_DISTANCE,0.42000000000000004,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,0,3,7,0,0,10,5,0.14452804199999036,0.20471245799998883,0.3492404999999792
3,0.5,10,QUERY_DISTANCE,0.42000000000000004,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,0,3,7,0,0,10,5,0.13164320799998563,0.20535075000000802,0.33699395799999365
4,0.5,10,QUERY_DISTANCE,0.42000000000000004,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,0,3,7,0,0,10,5,0.12781058400000234,0.20610787500001493,0.33391845900001726
5,0.5,10,QUERY_DISTANCE,0.42000000000000004,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,0,3,7,0,0,10,5,0.13375704099999552,0.20737983400002236,0.3411368750000179
6,0.5,10,QUERY_DISTANCE,0.42000000000000004,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,0,3,7,0,0,10,5,0.14840020900001605,0.216729249999986,0.36512945900000204
7,0.5,10,QUERY_DISTANCE,0.42000000000000004,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,0,3,7,0,0,10,5,0.12851999999998043,0.20389245800001277,0.3324124579999932
8,0.5,10,QUERY_DISTANCE,0.42000000000000004,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,0,3,7,0,0,10,5,0.13277579199998968,0.20659391600000276,0.33936970799999244
9,0.5,10,QUERY_DISTANCE,0.42000000000000004,RefinementMethod.MILP_OPT,3,3,7,3,7,0,3,7,0,0,3,7,0,0,10,5,0.13170608300001163,0.20889374999998722,0.34059983299999885
