no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,2235,,200MB,1.387120791000001,0.002520209000000051,1.389641000000001
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,2235,,200MB,1.3664662089999986,0.002455416000000099,1.3689216249999987
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,2235,,200MB,1.3675393329999999,0.0024679170000005968,1.3700072500000005
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,2235,,200MB,1.367180416,0.002486334000000312,1.3696667500000004
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,2235,,200MB,1.3654636660000001,0.002497916999999461,1.3679615829999996
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,2235,,200MB,1.3640351669999973,0.003118333000003304,1.3671535000000006
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,2235,,200MB,1.3661995000000005,0.002596291000003248,1.3687957910000037
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,2235,,200MB,1.3642521670000036,0.00258491599999644,1.366837083
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,2235,,200MB,1.363945957999995,0.0026290420000023573,1.3665749999999974
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,2235,,200MB,1.365585000000003,0.0026056669999974247,1.3681906670000004
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,2235,,200MB,1.367216459000005,0.0041992079999957355,1.3714156670000008
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,2235,,200MB,1.3652512090000002,0.003977375000005168,1.3692285840000054
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,2235,,200MB,1.364467832999999,0.0033248750000041127,1.3677927080000032
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,2235,,200MB,1.365247832999998,0.003281125000000884,1.3685289579999989
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,2235,,200MB,1.3647675830000026,0.003301749999998549,1.368069333000001
