no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(RACEV1X = 4),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(RACEV1X = 4),COUNT(RACEV1X = 2),COUNT(SEX = 1),COUNT(SEX = 2),COUNT(RACEV1X = 4),COUNT(RACEV1X = 2),COUNT(RACEV1X = 1),number_of_constraints,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,35.02156654200007,17.699324166000224,52.7208907080003
1,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.10602312499941,17.660178791000362,51.76620191599977
2,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,33.716836458001126,17.632420624999213,51.34925708300034
3,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.394833165999444,17.566552459000377,51.96138562499982
4,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.322119500000554,17.663777374998972,51.985896874999526
5,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.75552349999998,17.586288458000126,52.34181195800011
6,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.17005079199953,17.64796195800045,51.81801274999998
7,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,35.194384500000524,17.7013147079997,52.895699208000224
8,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,34.390012166000815,17.753175542000463,52.14318770800128
9,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,4,33.93832187500084,17.645922541998516,51.584244416999354
0,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,35.76858954099953,18.517915374999575,54.2865049159991
1,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,35.0561262500014,17.827388790999976,52.883515041001374
2,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,35.0081759170007,17.815157375000126,52.823333292000825
3,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,34.731042625000555,17.93065091599965,52.661693541000204
4,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,34.744454375000714,17.839483915999153,52.58393829099987
5,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,34.59586479099926,17.930801833999794,52.52666662499905
6,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,34.89689758299937,17.831215874999543,52.728113457998916
7,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,34.40166216600119,17.922281541999837,52.323943708001025
8,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,35.46279954199963,18.064536833000602,53.52733637500023
9,0.5,10,MAX_ORIGINAL,0.2,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,7,5,36.41413383299914,18.181517417000578,54.59565124999972
