no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(c.MKTSEGMENT = MACHINERY),number_of_constraints,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.19252425000002,0.007233541999994486,15.199757792000014
1,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.212982957999998,0.007406584000023031,15.22038954200002
2,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.157072874999926,0.006743958000015482,15.163816832999942
3,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.119123749999972,0.006460082999979022,15.12558383299995
4,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.153054915999974,0.007054166999978406,15.160109082999952
5,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.107532084000013,0.005937333000019862,15.113469417000033
6,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.107999333999942,0.0057404159999805415,15.113739749999922
7,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.112691334000033,0.005615165999984129,15.118306500000017
8,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.115048665999893,0.00602808400003596,15.12107674999993
9,0.5,10,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.108897999999954,0.006312000000207263,15.115210000000161
