no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,300,39.02290074999996,27.073879250000118,66.09678000000008
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,300,38.988209834000145,27.077893874999972,66.06610370900012
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,300,39.168635832999826,27.286727334000034,66.45536316699986
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,300,38.671106667000004,27.35244058299986,66.02354724999987
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,300,39.3123465000001,27.338231791999988,66.65057829200009
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,300,34.586558416000116,11.297206916999812,45.88376533299993
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,300,34.9822322089999,11.404281999999967,46.38651420899987
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,300,34.735986624999896,11.347335749999957,46.08332237499985
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,300,34.25493670900005,11.32562162499994,45.58055833399999
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,300,34.328668707999896,11.270546917000047,45.59921562499994
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,5,,300,38.71824741699993,16.283176708000155,55.001424125000085
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,5,,300,38.07910279199996,16.185799291999956,54.264902083999914
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,5,,300,38.51512374999993,16.120457791000035,54.635581540999965
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,5,,300,38.42030799999998,16.21078433399998,54.63109233399996
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,5,,300,38.58065908300023,16.131017207999776,54.711676291
