no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,3072,9.116194416999974,146.385925708,155.50212012499998
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,3072,9.304819124999995,146.59850525000002,155.903324375
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,3072,9.176793083000007,147.36965299999997,156.54644608299998
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,3072,9.449939707999988,147.082363417,156.532303125
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,3072,9.199191624999912,148.10092020800016,157.30011183300007
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,3072,1.8918919159998495,4.276137167000115,6.168029082999965
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,3072,1.890217874999962,4.286585917000139,6.176803792000101
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,3072,1.8613201660000414,4.319272749999982,6.180592916000023
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,3072,1.8560748330000933,4.32887795900001,6.184952792000104
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,3072,1.8769294579999496,4.2908471250000275,6.167776582999977
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,3072,8.881709250000085,15.765829499999882,24.647538749999967
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,3072,9.176192791999938,15.88802816700013,25.064220959000068
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,3072,9.185745499999939,15.745952291000094,24.931697791000033
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,3072,9.33001275000015,15.831672374999926,25.161685125000076
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,3072,9.138729374999912,15.929672916000072,25.068402290999984
