no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,1.0015801249999967,4.275983666000002,5.277563790999999
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,1.020135500000002,4.332691458999996,5.352826958999998
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,1.0062945419999991,4.290347167,5.296641708999999
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,1.0336375840000045,4.278729290999998,5.312366875000002
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,1.0026649160000005,4.318765333999998,5.321430249999999
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,0.2834092499999912,0.3897924590000059,0.6732017089999971
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,0.29675379100000043,0.38938075000000083,0.6861345410000013
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,0.28177637500000685,0.4057479579999921,0.6875243329999989
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,0.28180887499999585,0.39121079200000963,0.6730196670000055
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,0.2815762910000075,0.38902787499999647,0.6706041660000039
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,400,1.0291129999999953,1.1016052080000094,2.1307182080000047
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,400,1.0496545839999953,1.1137724579999997,2.163427041999995
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,400,1.0055986249999904,1.1520507920000114,2.157649417000002
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,400,1.030784582999999,1.1547029169999945,2.1854874999999936
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,400,1.0173187919999975,1.1044123330000133,2.121731125000011
