no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Status = Management),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Status = Management),COUNT(Status = Retired),number_of_constraints,setup_duration[sec],solver_duration[sec],total_duration[sec]
8,0.5,10,MAX_ORIGINAL,0.1333333333333333,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,3,0.1090190419999999,0.15069508299998802,0.2597141249999879
9,0.5,10,MAX_ORIGINAL,0.1333333333333333,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,3,0.1092857080000158,0.1327226669999959,0.2420083750000117
0,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,4,0.1134247079999966,0.13359816700000238,0.24702287499999898
1,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,4,0.11626312499998903,0.13363125000000764,0.24989437499999667
2,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,4,0.11726766699999303,0.13623537500001248,0.2535030420000055
3,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,4,0.11707483300000376,0.1541234999999972,0.27119833300000096
4,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,4,0.11590825000001814,0.135482957999983,0.25139120800000114
5,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,4,0.11341450000000464,0.13376637499999333,0.24718087499999797
6,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,4,0.11809337500000083,0.13862845799999945,0.2567218330000003
7,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,4,0.11399000000000115,0.1329216249999945,0.24691162499999564
8,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,4,0.11538904200000388,0.15327233299998966,0.26866137499999354
9,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,4,0.11536845799997764,0.13641312500001845,0.2517815829999961
0,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,5,0.12219483300000888,0.13493620799999917,0.25713104100000805
1,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,5,0.12143470800000955,0.1359897090000004,0.25742441700000995
2,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,5,0.121059291999984,0.13620137500001306,0.25726066699999706
3,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,5,0.12018629199999964,0.156732207999994,0.27691849999999363
4,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,5,0.12037654200000247,0.13532666699998686,0.25570320899998933
5,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,5,0.12144962500002521,0.1347922499999754,0.2562418750000006
6,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,5,0.12165041700001211,0.13540554099998303,0.25705595799999514
7,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,5,0.1203287909999915,0.15464179200000672,0.2749705829999982
8,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,5,0.12064312499998664,0.1359052920000181,0.25654841700000475
9,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,2,2,8,2,8,3,2,8,3,0,2,8,3,0,7,5,0.12308954100001301,0.13592041699999413,0.25900995800000715
