no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),,setup_duration[sec],solver_duration[sec],total_duration[sec]
4,0.5,80,MAX_ORIGINAL,0.3,RefinementMethod.MILP_OPT,28,,3.0404117090000113,6.31621929100001,9.356631000000021
0,0.5,90,MAX_ORIGINAL,0.3111111111111111,RefinementMethod.MILP_OPT,31,,3.2369969579999918,7.232807750000006,10.469804707999998
1,0.5,90,MAX_ORIGINAL,0.3111111111111111,RefinementMethod.MILP_OPT,31,,3.329783292000002,7.184559500000006,10.514342792000008
2,0.5,90,MAX_ORIGINAL,0.3111111111111111,RefinementMethod.MILP_OPT,31,,3.253451417000008,7.204356416999985,10.457807833999993
3,0.5,90,MAX_ORIGINAL,0.3111111111111111,RefinementMethod.MILP_OPT,31,,3.355858208000001,7.228724833999962,10.584583041999963
4,0.5,90,MAX_ORIGINAL,0.3111111111111111,RefinementMethod.MILP_OPT,31,,3.282063999999991,7.207284334000008,10.489348333999999
0,0.5,100,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,36,,3.466524708999998,7.751771958000006,11.218296667000004
1,0.5,100,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,36,,3.5436153750000017,7.786284541999976,11.329899916999977
2,0.5,100,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,36,,3.4592583749999903,7.736645624999994,11.195903999999985
3,0.5,100,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,36,,3.5087384999999927,7.719738667000001,11.228477166999994
4,0.5,100,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,36,,3.5252839580000455,7.777244042000007,11.302528000000052
