no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Gender = Female),COUNT(Gender = Male),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,LowerBound,,0.11068249999993895,0.22855183299998316,0.3392343329999221
0,0,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,5,5,5,Combined,,0.10931862500001444,0.4521819999999934,0.5615006250000079
