no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(c.MKTSEGMENT = MACHINERY),number_of_constraints,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.15170999999998,0.004550666000000092,15.15626066599998
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.226776374999986,0.00397574999999506,15.23075212499998
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.45298579200005,0.004049040999916542,15.457034832999966
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.187603666999962,0.004480667000052563,15.192084334000015
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.234059750000029,0.004690541999934794,15.238750291999963
5,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.153608290999955,0.004159791999995832,15.15776808299995
6,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.16752525000004,0.004060874999936459,15.171586124999976
7,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.15209645799996,0.004103334000092218,15.156199792000052
8,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.174929499999962,0.004427874999919368,15.179357374999881
9,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.23763391600005,0.004122709000057512,15.241756625000107
