no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Status = Management),COUNT(Gender = Female),COUNT(Gender = Male),COUNT(Status = Active),COUNT(Status = Management),COUNT(Status = Retired),number_of_constraints,setup_duration[sec],solver_duration[sec],total_duration[sec]
8,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,6,3,0.10562566700002662,0.15257445799997527,0.2582001250000019
9,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,2,4,6,0,2,6,3,0.10629412500000512,0.15011283300000855,0.2564069580000137
0,0.5,10,KENDALL_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,9,4,0.11590395799998987,0.15407716699999696,0.26998112499998683
1,0.5,10,KENDALL_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,9,4,0.1142223749999971,0.15477420799999209,0.2689965829999892
2,0.5,10,KENDALL_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,9,4,0.1138072500000078,0.1756151250000073,0.2894223750000151
3,0.5,10,KENDALL_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,9,4,0.11380462500000021,0.1531973339999979,0.2670019589999981
4,0.5,10,KENDALL_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,9,4,0.11401374999999803,0.15575300000000425,0.2697667500000023
5,0.5,10,KENDALL_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,9,4,0.11552095899997994,0.15420262500001058,0.2697235839999905
6,0.5,10,KENDALL_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,9,4,0.11349683299999924,0.1582768339999916,0.27177366699999084
7,0.5,10,KENDALL_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,9,4,0.11381404100001191,0.1758851669999899,0.2896992080000018
8,0.5,10,KENDALL_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,9,4,0.11322175000000811,0.15332191699999953,0.26654366700000764
9,0.5,10,KENDALL_DISTANCE,0.475,RefinementMethod.MILP_OPT,2,2,8,2,8,1,2,8,1,0,2,8,1,0,9,4,0.11224625000002675,0.15451974999999152,0.26676600000001827
0,0.5,10,KENDALL_DISTANCE,0.48000000000000004,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,0,2,8,0,0,9,5,0.11962970799999084,0.13281929199999354,0.2524489999999844
1,0.5,10,KENDALL_DISTANCE,0.48000000000000004,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,0,2,8,0,0,9,5,0.12184970799998496,0.13216033400001947,0.25401004200000443
2,0.5,10,KENDALL_DISTANCE,0.48000000000000004,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,0,2,8,0,0,9,5,0.13542325000000233,0.13456008299999667,0.269983332999999
3,0.5,10,KENDALL_DISTANCE,0.48000000000000004,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,0,2,8,0,0,9,5,0.11947412500001064,0.1340206249999767,0.25349474999998733
4,0.5,10,KENDALL_DISTANCE,0.48000000000000004,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,0,2,8,0,0,9,5,0.12056970899999442,0.136912916,0.2574826249999944
5,0.5,10,KENDALL_DISTANCE,0.48000000000000004,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,0,2,8,0,0,9,5,0.11959212499999694,0.13654770800002325,0.2561398330000202
6,0.5,10,KENDALL_DISTANCE,0.48000000000000004,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,0,2,8,0,0,9,5,0.13713262499999246,0.13380658400001266,0.2709392090000051
7,0.5,10,KENDALL_DISTANCE,0.48000000000000004,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,0,2,8,0,0,9,5,0.11931066699997928,0.13403508300001477,0.25334574999999404
8,0.5,10,KENDALL_DISTANCE,0.48000000000000004,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,0,2,8,0,0,9,5,0.11851275000000783,0.1359113329999957,0.2544240830000035
9,0.5,10,KENDALL_DISTANCE,0.48000000000000004,RefinementMethod.MILP_OPT,2,2,8,2,8,0,2,8,0,0,2,8,0,0,9,5,0.12250474999999028,0.13766624999999522,0.2601709999999855
