no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,data_size,lineage_classes,setup_duration[sec],solver_duration[sec],total_duration[sec]
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,7146,,300,5,1.999329791000008,0.0024630839999986165,2.0017928750000067
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,7146,,300,5,1.998276875000002,0.003808832999993683,2.0020857079999956
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,7146,,300,5,2.0001183749999996,0.002423332999995864,2.0025417079999954
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,7146,,300,5,1.999929042000005,0.0024997499999983575,2.0024287920000035
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,7146,,300,5,2.0011709999999994,0.0035903750000017,2.004761375000001
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,7146,,300,5,1.998224707999995,0.0029134580000089727,2.001138166000004
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,7146,,300,5,1.998066792000003,0.004240541000001485,2.0023073330000045
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,7146,,300,5,1.999980249999993,0.0028110829999974385,2.0027913329999905
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,7146,,300,5,1.9994009580000096,0.0028100829999999632,2.0022110410000096
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,15855,,400,5,2.779309374999997,0.006672332999997366,2.7859817079999942
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,15855,,400,5,2.748922332999996,0.006265541999994184,2.75518787499999
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,15855,,400,5,2.7290997919999995,0.006320165999994742,2.7354199579999943
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,15855,,400,5,2.735119999999995,0.005527874999998517,2.7406478749999934
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,15855,,400,5,2.735561959000009,0.005402750000001788,2.7409647090000107
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,15855,,400,5,2.730535125000017,0.0027554999999779284,2.733290624999995
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,15855,,400,5,2.731375291000006,0.002452958999981547,2.7338282499999877
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,15855,,400,5,2.7239775410000107,0.0024344999999925676,2.7264120410000032
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,15855,,400,5,2.7293515839999998,0.003039458000017703,2.7323910420000175
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,15855,,400,5,2.7274948330000086,0.002473667000003843,2.7299685000000125
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,15855,,400,5,2.727457415999993,0.0025759590000120625,2.730033375000005
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,15855,,400,5,2.729037665999982,0.002544375000013588,2.731582040999996
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,15855,,400,5,2.7267798340000127,0.0025551249999864467,2.729334958999999
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,15855,,400,5,2.734728749999988,0.002592584000012721,2.7373213340000007
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,15855,,400,5,2.7368966249999858,0.002555083000004288,2.73945170799999
0,0.5,10,KENDALL_DISTANCE,-1,RefinementMethod.MILP_OPT,-1,,500,5,3.625906041999997,0.005522041000006084,3.631428083000003
1,0.5,10,KENDALL_DISTANCE,-1,RefinementMethod.MILP_OPT,-1,,500,5,3.5801540829999965,0.0034672090000071876,3.5836212920000037
2,0.5,10,KENDALL_DISTANCE,-1,RefinementMethod.MILP_OPT,-1,,500,5,3.5675095,0.0036197499999843785,3.5711292499999843
3,0.5,10,KENDALL_DISTANCE,-1,RefinementMethod.MILP_OPT,-1,,500,5,3.5628255830000057,0.003349582999987888,3.5661751659999936
4,0.5,10,KENDALL_DISTANCE,-1,RefinementMethod.MILP_OPT,-1,,500,5,3.563990166999986,0.003295207999997274,3.567285374999983
0,0.5,10,QUERY_DISTANCE,-1,RefinementMethod.MILP_OPT,-1,,500,5,3.5982667080000112,0.0030487089999837735,3.601315416999995
1,0.5,10,QUERY_DISTANCE,-1,RefinementMethod.MILP_OPT,-1,,500,5,3.652229874999989,0.0027874170000075082,3.6550172919999966
2,0.5,10,QUERY_DISTANCE,-1,RefinementMethod.MILP_OPT,-1,,500,5,3.6079042920000006,0.002389708000009705,3.6102940000000103
3,0.5,10,QUERY_DISTANCE,-1,RefinementMethod.MILP_OPT,-1,,500,5,3.5961835420000057,0.0024574999999913416,3.598641041999997
4,0.5,10,QUERY_DISTANCE,-1,RefinementMethod.MILP_OPT,-1,,500,5,3.6266305000000045,0.0024172499999792763,3.629047749999984
0,0.5,10,MAX_ORIGINAL,-1,RefinementMethod.MILP_OPT,-1,,500,5,3.6157467499999996,0.0027249579999875095,3.618471707999987
1,0.5,10,MAX_ORIGINAL,-1,RefinementMethod.MILP_OPT,-1,,500,5,3.614177374999997,0.0022624579999899197,3.616439832999987
2,0.5,10,MAX_ORIGINAL,-1,RefinementMethod.MILP_OPT,-1,,500,5,3.590574624999988,0.00223450000001435,3.5928091250000023
3,0.5,10,MAX_ORIGINAL,-1,RefinementMethod.MILP_OPT,-1,,500,5,3.585087499999986,0.002263292000009187,3.587350791999995
4,0.5,10,MAX_ORIGINAL,-1,RefinementMethod.MILP_OPT,-1,,500,5,3.6502258330000075,0.003667041999989351,3.653892874999997
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,53223,,600,5,4.841743791999988,0.011324124999987362,4.853067916999976
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,53223,,600,5,4.7310217499999965,0.008608916000014233,4.739630666000011
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,53223,,600,5,4.673262208000011,0.008286416999993662,4.681548625000005
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,53223,,600,5,4.646785874999978,0.01088724999999613,4.657673124999974
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,53223,,600,5,4.651734707999992,0.008720583000012994,4.660455291000005
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,53223,,600,5,4.6402670840000155,0.0027514999999880274,4.643018584000004
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,53223,,600,5,4.649819082999954,0.0035828750000064247,4.653401957999961
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,53223,,600,5,4.661395416000005,0.0026352499999688916,4.664030665999974
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,53223,,600,5,4.648959583000021,0.002624833000027138,4.651584416000048
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,53223,,600,5,4.640933458999996,0.00298462500001051,4.643918084000006
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,53223,,600,5,4.648474583999985,0.0070682500000316395,4.655542834000016
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,53223,,600,5,4.643848042000002,0.004954249999968852,4.648802291999971
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,53223,,600,5,4.64759058300001,0.005640625000012278,4.653231208000022
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,53223,,600,5,4.652489333999995,0.005579833000012968,4.658069167000008
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,53223,,600,5,4.640356915999973,0.007457041999998637,4.647813957999972
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,84140,,700,5,6.20679691700002,0.009080125000025419,6.215877042000045
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,84140,,700,5,6.104166207999981,0.008872542000005978,6.113038749999987
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,84140,,700,5,6.112006915999984,0.008125375000020085,6.120132291000004
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,84140,,700,5,6.097559541999999,0.0068611660000215124,6.104420708000021
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,84140,,700,5,6.104743957999972,0.0074192079999875205,6.112163165999959
