no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,84140,,700MB,6.126611249999996,0.011257417000024361,6.137868667000021
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,84140,,700MB,6.073394208000025,0.009518916999979865,6.082913125000005
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,84140,,700MB,6.051843582999993,0.01061779200000501,6.062461374999998
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,84140,,700MB,6.048142625000025,0.00949208299999782,6.057634708000023
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,84140,,700MB,6.037079833000007,0.01034995799994931,6.047429790999956
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,84140,,700MB,6.038445249999995,0.0025911249999808206,6.041036374999976
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,84140,,700MB,6.035679415999994,0.0036629589999961354,6.03934237499999
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,84140,,700MB,6.036200542000017,0.0033868749999896863,6.039587417000007
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,84140,,700MB,6.041755541000043,0.002592042000003403,6.044347583000047
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,84140,,700MB,6.034823082999992,0.0026590830000259302,6.037482166000018
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,84140,,700MB,6.039612207999994,0.006951250000042819,6.046563458000037
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,84140,,700MB,6.04396112500001,0.004481375000011667,6.0484425000000215
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,84140,,700MB,6.033275582999977,0.004582167000023674,6.037857750000001
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,84140,,700MB,6.04491254200002,0.005531582999992679,6.050444125000013
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,84140,,700MB,6.033218708999982,0.004959083000017017,6.038177791999999
