no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,7146,,300MB,2.0218692500000017,0.0025887919999973974,2.024458041999999
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,7146,,300MB,1.9972092500000045,0.0031741249999939214,2.0003833749999984
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,7146,,300MB,1.9928621669999984,0.0025154580000048554,1.9953776250000033
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,7146,,300MB,1.9925387920000048,0.0025229999999965003,1.9950617920000013
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,7146,,300MB,1.9923545839999974,0.0025012499999945703,1.994855833999992
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,7146,,300MB,1.9937917909999925,0.0024802920000013273,1.9962720829999938
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,7146,,300MB,1.9918046669999967,0.0024339579999974603,1.9942386249999942
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,7146,,300MB,1.9884651250000047,0.002487790999992967,1.9909529159999977
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,7146,,300MB,1.9904071250000044,0.0024547919999946544,1.992861916999999
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,7146,,300MB,1.9889446669999984,0.0031522499999994125,1.9920969169999978
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,7146,,300MB,1.9891118330000097,0.002862374999992312,1.991974208000002
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,7146,,300MB,1.9921918750000032,0.0027847499999893444,1.9949766249999925
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,7146,,300MB,1.9881885420000032,0.0035594160000016473,1.9917479580000048
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,7146,,300MB,1.988118166999996,0.00279562500000452,1.9909137920000006
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,7146,,300MB,1.9949737920000103,0.0027598329999989346,1.9977336250000093
