no,max_deviation,K,useful_method,deviation,algorithm,COUNT(SEX = 1),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,39.951159624999946,28.390299874999982,68.34145949999993
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,39.84496345799971,28.221899708000365,68.06686316600008
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,39.767368583999996,28.43545287500001,68.202821459
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,40.35919641600003,28.350326709,68.70952312500003
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,40.33243741599972,28.66447170900028,68.996909125
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,36.1665253340002,12.179094707999866,48.345620042000064
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,35.78928891700025,11.89805616700005,47.6873450840003
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,36.23322874999985,11.998570084000221,48.231798834000074
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,35.30196483399959,11.915588208000372,47.21755304199996
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,400,35.1283038749998,11.933046458000263,47.061350333000064
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,400,40.054112625000016,16.50856816700025,56.562680792000265
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,400,40.101904790999924,16.48530433399992,56.587209124999845
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,400,39.8498231249996,16.45816220800043,56.30798533300003
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,400,40.1272475830001,16.636214582999855,56.763462165999954
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,400,39.90934754099999,16.46585158400012,56.37519912500011
