no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,setup_duration[sec],solver_duration[sec],total_duration[sec]
3,0.5,80,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,20,,0.05493304199995919,0.7992504169999961,0.8541834589999553
4,0.5,80,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,20,,0.058953250000001844,0.7924115829999892,0.851364832999991
0,0.5,90,QUERY_DISTANCE,0.4888888888888889,RefinementMethod.MILP_OPT,23,,0.05645162500002243,5.256166458999985,5.3126180840000075
1,0.5,90,QUERY_DISTANCE,0.4888888888888889,RefinementMethod.MILP_OPT,23,,0.05865166600000293,5.310755791999952,5.369407457999955
2,0.5,90,QUERY_DISTANCE,0.4888888888888889,RefinementMethod.MILP_OPT,23,,0.07451408299999684,5.356745459000024,5.431259542000021
3,0.5,90,QUERY_DISTANCE,0.4888888888888889,RefinementMethod.MILP_OPT,23,,0.05861525000000256,5.378414958999997,5.437030209
4,0.5,90,QUERY_DISTANCE,0.4888888888888889,RefinementMethod.MILP_OPT,23,,0.06367279199997711,5.474834500000043,5.53850729200002
0,0.5,100,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,25,,0.058256500000027245,21.009570916999962,21.06782741699999
1,0.5,100,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,25,,0.05940987500002848,21.40484487499998,21.46425475000001
2,0.5,100,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,25,,0.05873670800002628,21.287941917000012,21.346678625000038
3,0.5,100,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,25,,0.06202316700000665,21.62552475000001,21.687547917000018
4,0.5,100,QUERY_DISTANCE,0.5,RefinementMethod.MILP_OPT,25,,0.0616166249999992,22.442808458000002,22.504425083
