no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,1.3881342500000073,5.314359582999998,6.7024938330000055
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,1.3599724170000087,5.290769083000001,6.650741500000009
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,1.346478917000013,5.328948457999999,6.675427375000012
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,1.3200247919999981,5.247147042000009,6.567171834000007
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,1.3553692499999954,5.204624332999998,6.559993582999994
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,0.37829654200000107,0.8547133330000065,1.2330098750000076
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,0.3708044170000022,0.7393842500000005,1.1101886670000027
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,0.3871105829999948,0.7112408750000014,1.0983514579999962
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,0.3755015830000019,0.7083949999999959,1.0838965829999978
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,500,0.3535345410000019,0.7618868339999949,1.1154213749999968
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,500,1.3190006669999974,1.4789938750000005,2.797994541999998
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,500,1.367231167,1.448339500000003,2.815570667000003
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,500,1.3620009579999959,1.4822402500000038,2.8442412079999997
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,500,1.316528833999996,1.4779623750000042,2.7944912090000003
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,500,1.3480701659999852,1.5071903340000006,2.8552604999999858
