no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,3000,0.8512334999999993,2.2379432080000043,3.0891767080000037
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,3000,0.8462472500000047,2.2225474170000012,3.068794667000006
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,3000,0.8946101249999998,2.2248701250000025,3.1194802500000023
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,3000,0.8558803749999981,2.2775419169999935,3.1334222919999917
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,3000,0.8587964590000041,2.2355173750000006,3.0943138340000047
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,3000,0.4886989580000005,0.5726274169999925,1.061326374999993
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,3000,0.47415774999998916,1.2717703330000063,1.7459280829999955
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,3000,0.4947379159999912,0.5620802500000082,1.0568181659999993
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,3000,0.487998833000006,0.6406211669999919,1.128619999999998
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,5,,3000,0.47219908299999247,0.8861799170000069,1.3583789999999993
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,5,,3000,0.8722503750000072,1.1022150829999902,1.9744654579999974
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,5,,3000,0.8398501249999981,0.8455975420000073,1.6854476670000054
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,5,,3000,0.8633593750000017,1.1122254580000117,1.9755848330000134
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,5,,3000,0.8632116250000053,1.1821328329999972,2.0453444580000024
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,5,,3000,0.8782596670000089,0.9612941660000018,1.8395538330000107
