no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2048,6.178867249999996,21.197886834000002,27.376754083999998
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2048,6.220227792000003,21.160105625,27.380333417000003
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2048,6.217914707999967,21.158999959000028,27.376914666999994
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2048,6.207590499999981,21.135965999999996,27.343556499999977
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2048,6.223465792000013,21.256074582999986,27.479540375
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2048,1.249929166999948,2.5063702500000318,3.7562994169999797
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2048,1.2693597499999782,2.539183707999996,3.808543457999974
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2048,1.3102955410000163,2.494486542000004,3.8047820830000205
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2048,1.2893065839999736,2.48716166600002,3.7764682499999935
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,2048,1.2884951670000078,2.5219070419999525,3.8104022089999603
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,2048,6.229440624999995,7.831254083000033,14.060694708000028
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,2048,6.413760165999975,7.841799874999992,14.255560040999967
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,2048,6.153938708999988,7.7915707910000265,13.945509500000014
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,2048,6.249205790999952,7.8134892920000425,14.062695082999994
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,2048,6.105209875000014,7.760471958000039,13.865681833000053
