no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,15855,,400MB,2.757218167000005,0.002432957999999985,2.759651125000005
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,15855,,400MB,2.7215973749999876,0.0024737500000071577,2.7240711249999947
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,15855,,400MB,2.7252969580000013,0.0025344170000067834,2.727831375000008
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,15855,,400MB,2.725487333000004,0.002424916999999027,2.727912250000003
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,15855,,400MB,2.7235919999999965,0.0024772920000089016,2.7260692920000054
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,15855,,400MB,2.7194980410000085,0.0024233750000064447,2.721921416000015
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,15855,,400MB,2.722816667000018,0.0024377909999770964,2.725254457999995
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,15855,,400MB,2.7174014169999907,0.002436499999987518,2.7198379169999782
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,15855,,400MB,2.7192335000000014,0.002395708999983981,2.7216292089999854
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,15855,,400MB,2.7277722909999795,0.0024552499999970223,2.7302275409999766
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,15855,,400MB,2.7215927079999744,0.0025991669999996247,2.724191874999974
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,15855,,400MB,2.7336897499999964,0.0025927500000193504,2.7362825000000157
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,15855,,400MB,2.725527707999987,0.0026170000000149685,2.728144708000002
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,15855,,400MB,2.7217707089999976,0.0025419580000232145,2.724312667000021
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,15855,,400MB,2.7196862090000025,0.0025552079999897614,2.7222414169999922
