no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,258,,100MB,0.7872886249999999,0.003966834000000086,0.7912554589999999
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,258,,100MB,0.7784333750000001,0.002573374999999878,0.78100675
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,258,,100MB,0.7787731249999998,0.0025164580000005543,0.7812895830000004
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,258,,100MB,0.7777568749999997,0.0025102920000001916,0.7802671669999999
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,258,,100MB,0.7780099590000003,0.0028582909999999018,0.7808682500000002
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,258,,100MB,0.7911059579999993,0.0027592920000003573,0.7938652499999996
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,258,,100MB,0.7753472080000012,0.002632457999999005,0.7779796660000002
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,258,,100MB,0.7745980419999992,0.0025700000000004053,0.7771680419999996
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,258,,100MB,0.7748742919999998,0.0026202499999996576,0.7774945419999995
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,258,,100MB,0.7735164170000015,0.002622582999999068,0.7761390000000006
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,258,,100MB,0.7745928749999997,0.0040600840000006855,0.7786529590000004
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,258,,100MB,0.7756342079999996,0.0033375420000005818,0.7789717500000002
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,258,,100MB,0.7767742079999991,0.0034144169999983376,0.7801886249999974
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,258,,100MB,0.7752577500000015,0.003676332999997811,0.7789340829999993
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,258,,100MB,0.7747804999999985,0.0034883329999999546,0.7782688329999985
