no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,5000,0.944890749999999,2.2708206659999917,3.2157114159999907
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,5000,0.9321496250000081,2.2512059160000035,3.1833555410000116
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,5000,0.9570739579999952,2.271796166999991,3.228870124999986
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,5000,0.9828572090000023,2.2654587499999934,3.2483159589999957
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,6,,5000,0.939696749999996,2.2760497919999807,3.2157465419999767
0,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,5000,0.5298319580000168,0.6342574999999897,1.1640894580000065
1,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,5000,0.5363378750000152,0.6569347919999871,1.1932726670000022
2,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,5000,0.5289997079999864,0.641048000000012,1.1700477079999985
3,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,5000,0.5489050840000118,0.6232729999999833,1.1721780839999951
4,0.5,10,QUERY_DISTANCE,0.2,RefinementMethod.MILP_OPT,4,,5000,0.5270155419999867,0.6155864580000241,1.1426020000000108
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,6,,5000,0.962046708999992,0.9332079160000148,1.8952546250000069
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,6,,5000,0.9525127919999932,0.9124201250000112,1.8649329170000044
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,6,,5000,0.9470058329999915,0.9319257920000155,1.878931625000007
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,6,,5000,0.9449041249999937,0.9141857500000015,1.8590898749999951
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,6,,5000,0.9690745420000155,0.9191952079999908,1.8882697500000063
