no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),COUNT(sex = 2),COUNT(sex = 1),COUNT(sex = 2),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,6,4,6,4,LowerBound,,0.6944397500001287,1.931165041999975,2.6256047920001038
0,0,10,QUERY_DISTANCE,0.1,RefinementMethod.MILP_OPT,6,4,6,4,Combined,,0.705900124999971,2.4661582080000244,3.1720583329999954
