no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,5120,13.39273729200022,48.88399974999993,62.27673704200015
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,5120,13.33524750000015,48.82041529099979,62.15566279099994
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,5120,13.59474204099979,48.62379766699996,62.21853970799975
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,5120,13.480198666999968,48.83630466600016,62.31650333300013
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,5120,13.376960125000096,48.84481054099979,62.221770665999884
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,5120,2.70041720800009,6.306846667000173,9.007263875000262
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,5120,2.6998067500003344,6.337881957999798,9.037688708000132
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,5120,2.7376075000001947,6.28629141600004,9.023898916000235
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,5120,2.698596166999778,6.281140625000262,8.97973679200004
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,5120,2.7234578339998734,6.289433791000192,9.012891625000066
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,5120,13.343862000000172,20.508488458999636,33.85235045899981
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,5120,13.291577584000152,20.823653250000007,34.11523083400016
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,5120,13.336422458000015,20.49038041699987,33.826802874999885
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,5120,13.417750416999752,20.53158325000004,33.94933366699979
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,5120,13.378869916999975,20.506546499999786,33.88541641699976
