no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,0.3874142909999998,1.224677459,1.6120917499999998
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,0.3809645829999999,1.2500472919999996,1.6310118749999996
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,0.38494058399999975,1.2602754999999997,1.6452160839999994
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,0.39532833300000014,1.232697292000001,1.6280256250000011
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,0.3862137499999996,1.22558875,1.6118024999999996
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,0.13238333400000002,0.18554808300000047,0.3179314170000005
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,0.13206425000000088,0.20202804199999846,0.33409229199999935
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,0.13331866600000097,0.19420995900000015,0.32752862500000113
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,0.13238441699999903,0.18735625000000056,0.3197406669999996
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,3,,200,0.13206229200000053,0.1969905409999999,0.32905283300000043
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,200,0.3882605829999992,0.38508604200000107,0.7733466250000003
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,200,0.40178412499999894,0.38962812500000155,0.7914122500000005
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,200,0.3816300410000011,0.3842659169999987,0.7658959579999998
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,200,0.37554224999999875,0.39690462500000123,0.772446875
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,3,,200,0.38317516699999743,0.4086055000000002,0.7917806669999976
