no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,53223,,600MB,4.6681466249999914,0.009173750000002201,4.677320374999994
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,53223,,600MB,4.639388167000021,0.008404041999995115,4.647792209000016
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,53223,,600MB,4.624023375000007,0.007833875000017088,4.631857250000024
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,53223,,600MB,4.61496812499999,0.008045750000007956,4.623013874999998
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,53223,,600MB,4.627151249999997,0.009991333000016311,4.6371425830000135
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,53223,,600MB,4.614288249999959,0.0025024580000376773,4.616790707999996
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,53223,,600MB,4.62077687499999,0.0035384160000262455,4.624315291000016
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,53223,,600MB,4.627325917000007,0.0025924160000272423,4.629918333000035
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,53223,,600MB,4.613706291999961,0.002468458000009832,4.616174749999971
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,53223,,600MB,4.624176750000004,0.003162125000017113,4.627338875000021
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,53223,,600MB,4.621139874999983,0.00553166700001384,4.626671541999997
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,53223,,600MB,4.626083375000007,0.004953542000009747,4.631036917000017
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,53223,,600MB,4.622221500000023,0.006503291999990779,4.628724792000014
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,53223,,600MB,4.611614916999997,0.004772290999994766,4.616387207999992
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,53223,,600MB,4.632310541999971,0.006603041000005305,4.638913582999976
