no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,1GB,14.954053457999976,0.00863125000000764,14.962684707999983
1,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,1GB,14.856352666999896,0.008088750000069922,14.864441416999966
2,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,1GB,14.895336708000059,0.00958170799981417,14.904918415999873
3,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,1GB,14.876656749999938,0.0070300419999966834,14.883686791999935
4,0.5,10,KENDALL_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,1GB,14.88589495899987,0.00727437499995176,14.893169333999822
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,1GB,14.874391999999943,0.0027873750000253494,14.877179374999969
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,1GB,14.861685750000106,0.003297332999864011,14.86498308299997
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,1GB,14.94028270800004,0.002747334000105184,14.943030042000146
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,1GB,14.863793374999887,0.002668666000090525,14.866462040999977
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,1GB,15.012238000000025,0.0026933330000247224,15.01493133300005
0,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,241642,,1GB,15.046242166999946,0.00511370800018085,15.051355875000127
1,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,241642,,1GB,15.042172000000164,0.005539124999813794,15.047711124999978
2,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,241642,,1GB,14.985371792000024,0.006830792000073416,14.992202584000097
3,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,241642,,1GB,14.962787249999792,0.005937708000146813,14.968724957999939
4,0.5,10,MAX_ORIGINAL,0.0,RefinementMethod.MILP_OPT,241642,,1GB,14.926871541999844,0.006137416999990819,14.933008958999835
