no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(c.MKTSEGMENT = MACHINERY),number_of_constraints,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.141799499999934,0.015360875000055785,15.15716037499999
1,0.5,10,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.180696459000046,0.020407125000019732,15.201103584000066
2,0.5,10,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.193994540999938,0.014913999999976113,15.208908540999914
3,0.5,10,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.165633916000047,0.01187391700000262,15.17750783300005
4,0.5,10,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.151601958000015,0.022331708000024264,15.173933666000039
5,0.5,10,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.170011042000056,0.01377833300000475,15.18378937500006
6,0.5,10,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.16487374999997,0.01642195800002355,15.181295707999993
7,0.5,10,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.1723025,0.02235916699999052,15.194661666999991
8,0.5,10,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.175696708000032,0.014437584000006609,15.190134292000039
9,0.5,10,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,3,,15.176678415999959,0.01959495899996,15.196273374999919
