no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),COUNT(sex = 1),COUNT(sex = 2),COUNT(sex = 1),COUNT(sex = 2),COUNT(race = Black),COUNT(sex = 1),COUNT(sex = 2),COUNT(race = Black),COUNT(race = White),COUNT(sex = 1),COUNT(sex = 2),COUNT(race = Black),COUNT(race = White),COUNT(race = Asian),number_of_constraints,setup_duration[sec],solver_duration[sec],total_duration[sec]
9,0.5,10,MAX_ORIGINAL,0.3333333333333333,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,3,0.7337341669999944,1.506432083000007,2.2401662500000015
0,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,4,0.7677150840000024,1.4790583329999976,2.246773417
1,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,4,0.7482756249999909,1.483040250000002,2.231315874999993
2,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,4,0.7459708749999976,1.46681375,2.2127846249999976
3,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,4,0.7702927920000064,1.4789704169999993,2.2492632090000058
4,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,4,0.7496292920000087,1.4742149580000046,2.2238442500000133
5,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,4,0.7619499169999955,1.4754899580000114,2.237439875000007
6,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,4,0.7573427079999959,1.4746310840000092,2.231973792000005
7,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,4,0.7614018339999973,1.4939988330000062,2.2554006670000035
8,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,4,0.7532454999999914,1.480827375000004,2.2340728749999954
9,0.5,10,MAX_ORIGINAL,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,4,0.7548671670000004,1.4745405000000034,2.229407667000004
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,5,0.8062537089999893,1.5092547500000109,2.315508459
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,5,0.8324486249999978,1.4753154579999972,2.307764082999995
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,5,0.8322014580000001,1.5068346669999926,2.3390361249999927
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,5,0.8028833749999933,1.5090850409999916,2.311968415999985
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,5,0.8206285420000086,1.4722138749999942,2.292842417000003
5,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,5,0.8261118329999988,1.4961493329999769,2.3222611659999757
6,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,5,0.7969044170000075,1.497991208000002,2.2948956250000094
7,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,5,0.8076443749999953,1.507427167000003,2.3150715419999983
8,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,5,0.8271451250000155,1.468963374999987,2.2961085000000026
9,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,9,4,6,0,9,0,5,0.8351248750000195,1.5038874589999978,2.3390123340000173
