no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,239090,241642,239090,LowerBound,,14.949342042000012,0.0037300409999829753,14.953072082999995
0,0,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,239090,241642,239090,Combined,,14.959438499999976,0.003828875000010612,14.963267374999987
