no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),COUNT(sex = 1),COUNT(sex = 2),COUNT(sex = 1),COUNT(sex = 2),COUNT(race = Black),COUNT(sex = 1),COUNT(sex = 2),COUNT(race = Black),COUNT(race = White),COUNT(sex = 1),COUNT(sex = 2),COUNT(race = Black),COUNT(race = White),COUNT(race = Asian),number_of_constraints,setup_duration[sec],solver_duration[sec],total_duration[sec]
9,0.5,10,KENDALL_DISTANCE,0.3333333333333333,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,3,0.7250380839999906,1.9320053750000028,2.6570434589999934
0,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,10,4,6,0,10,0,4,0.7507107919999925,1.7169287079999975,2.46763949999999
1,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,10,4,6,0,10,0,4,0.750077625000003,1.7223497500000065,2.4724273750000094
2,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,10,4,6,0,10,0,4,0.7497492920000042,1.7180573329999902,2.4678066249999944
3,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,10,4,6,0,10,0,4,0.7584627499999925,1.7288056250000068,2.4872683749999993
4,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,10,4,6,0,10,0,4,0.7659905830000042,1.7108387079999972,2.4768292910000014
5,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,10,4,6,0,10,0,4,0.7495823750000028,1.7287918749999989,2.4783742500000017
6,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,10,4,6,0,10,0,4,0.7950855830000023,1.6894569170000011,2.4845425000000034
7,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,10,4,6,0,10,0,4,0.7922060000000073,1.693982707999993,2.4861887080000002
8,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,10,4,6,0,10,0,4,0.7782366250000052,1.694895540999994,2.473132165999999
9,0.5,10,KENDALL_DISTANCE,0.25,RefinementMethod.MILP_OPT,4,4,6,4,6,0,4,6,0,10,4,6,0,10,0,4,0.7815796660000274,1.722924374999991,2.5045040410000183
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,5,0.7955550000000073,1.8070623749999868,2.602617374999994
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,5,0.8015199999999822,1.8023121250000145,2.6038321249999967
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,5,0.8364201250000178,1.778918874999988,2.615339000000006
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,5,0.8202557920000118,1.8211175829999888,2.6413733750000006
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,5,0.7961552499999982,1.8250837500000046,2.6212390000000028
5,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,5,0.8250945000000058,1.7745346669999833,2.599629166999989
6,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,5,0.8185277919999976,1.8095375000000047,2.6280652920000023
7,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,5,0.8035888340000099,1.8127492079999854,2.6163380419999953
8,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,5,0.799206584000018,1.8029293749999908,2.602135959000009
9,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,6,6,4,6,4,0,6,4,0,10,6,4,0,10,0,5,0.8361794999999859,1.770034542000019,2.606214042000005
